# vortex_number, sol, t0, t0_unc, DeltaP, DeltaP_unc, Gamma, Gamma_unc, intercept, intercept_unc, slope, slope_inc, convolution
2, 33, 11.6415, 1.55076e-05, 3.4127, 0.0716238, 5.31936, 0.167217, 740.788, 0.00946812, -2.77655, 0.702874, 10.7819
0, 34, 10.2544, 3.24869e-05, 0.788442, 0.073097, 2.4536, 0.33215, 740.497, 0.00701364, -1.0986, 0.683249, 5.31443
1, 34, 14.6953, 8.31153e-05, 0.755335, 0.156638, 2.70219, 0.812517, 712.172, 0.0162978, 1.69076, 1.57947, 5.45623
2, 34, 14.6713, 7.47765e-05, 0.923435, 0.166997, 3.02049, 0.79306, 712.233, 0.0130288, -4.14857, 0.738943, 6.34504
3, 34, 9.45672, 1.19355e-05, 1.435, 0.0373323, 3.27554, 0.124565, 746.052, 0.00372128, -7.01795, 0.288582, 8.39443
4, 34, 12.4783, 8.67679e-06, 4.13373, 0.163823, 1.53991, 0.0878372, 725.801, 0.0143631, 2.83568, 2.72708, 15.2778
0, 35, 12.8966, 5.81845e-05, 0.76998, 0.0613765, 5.25559, 0.616762, 725.195, 0.00660528, -7.9156, 0.361354, 5.01246
1, 35, 9.45497, 4.43432e-05, 0.797597, 0.353506, 0.617816, 0.228764, 751.612, 0.00403534, -5.27079, 0.794513, 7.59276
2, 35, 14.6018, 2.69644e-05, 1.14884, 0.0730185, 3.14282, 0.301138, 715.754, 0.00943297, 4.28684, 1.1672, 9.4189
0, 36, 9.60318, 4.50779e-05, 1.41317, 0.0309828, 14.8012, 0.480872, 746.423, 0.00366604, -11.5813, 0.080893, 6.32338
0, 37, 14.9515, 1.76977e-05, 1.98738, 0.137006, 2.24075, 0.231759, 711.215, 0.0130827, -0.897182, 1.6636, 8.22939
1, 37, 10.1039, 3.16546e-05, 1.75852, 0.0366196, 10.942, 0.339965, 745.722, 0.00465815, -10.5345, 0.157951, 10.7962
2, 37, 15.7081, 0.000279436, 0.788316, 0.095938, 17.2687, 4.51762, 707.865, 0.0784241, 8.23286, 6.6878, 14.6702
0, 38, 12.3875, 0.000174936, 0.747234, 0.0516275, 18.2266, 1.87027, 728.306, 0.00638354, -8.36448, 0.117223, 5.10242
1, 38, 11.568, 2.09968e-05, 1.32463, 0.0487775, 4.09035, 0.222305, 735.982, 0.00552839, -18.1491, 0.420476, 5.20518
2, 38, 11.866, 1.82277e-05, 1.15338, 0.0794567, 1.8249, 0.184074, 732.786, 0.00701618, -7.98072, 0.910273, 6.36049
3, 38, 13.3145, 0.00010658, 1.86328, 0.0331002, 43.1102, 1.22014, 721.049, 0.00706571, -7.24617, 0.115808, 8.24431
4, 38, 11.7585, 1.19185e-05, 2.99367, 0.0536198, 4.79195, 0.127821, 734.134, 0.0066529, -15.5692, 0.499327, 13.4099
0, 39, 13.0523, 5.34003e-05, 2.06457, 0.0504505, 15.7235, 0.587377, 718.263, 0.00805666, -5.04493, 0.261017, 5.05303
1, 39, 9.86887, 3.01638e-05, 1.24183, 0.0341937, 7.88727, 0.313616, 741.999, 0.00257327, -8.23734, 0.0510642, 5.74268
2, 39, 12.7259, 3.23588e-05, 4.88062, 0.0670469, 16.9568, 0.345604, 719.877, 0.00797238, -4.94602, 0.158582, 12.868
3, 39, 15.4534, 1.59792e-05, 2.48375, 0.104109, 2.63565, 0.162884, 703.643, 0.0124494, -5.76307, 1.57241, 20.2449
0, 41, 13.2586, 4.97876e-05, 0.561851, 0.0335625, 6.00062, 0.520572, 717.785, 0.00287056, -4.20712, 0.0940685, 5.76678
1, 41, 14.6149, 6.53783e-05, 1.00339, 0.0212621, 22.2069, 0.706598, 709.544, 0.00290453, -4.99372, 0.0532959, 7.71368
2, 41, 11.2144, 3.79153e-05, 1.20413, 0.0613879, 5.3539, 0.404964, 732.935, 0.00730215, -6.67065, 0.459765, 8.18135
0, 42, 14.0803, 0.000394616, 0.391975, 0.00979625, 112.38, 5.44553, 716.384, 0.0054116, -6.03769, 0.0559492, 5.09724
1, 42, 15.9597, 8.58659e-05, 0.698591, 0.00882169, 48.8234, 0.998798, 703.83, 0.00211702, -5.62792, 0.0328838, 6.5563
0, 44, 13.2894, 4.13069e-05, 3.1434, 0.0874172, 10.6932, 0.438095, 708.15, 0.00949043, -10.9835, 0.259568, 13.1665
0, 45, 14.4279, 5.41145e-05, 0.735731, 0.0194476, 14.7359, 0.583017, 686.552, 0.00261643, -10.4873, 0.0677997, 6.04461
0, 46, 13.2505, 4.42339e-05, 1.75285, 0.0602565, 9.26326, 0.471138, 695.281, 0.00694874, -14.4141, 0.239115, 9.67839
0, 47, 9.92353, 4.95825e-05, 0.637466, 0.0318933, 7.13517, 0.517762, 728.93, 0.00269393, -10.16, 0.0697463, 5.46632
1, 47, 15.0618, 4.16423e-05, 0.65177, 0.0117314, 16.6552, 0.443308, 680.058, 0.001378, -7.89299, 0.0254615, 6.81729
0, 49, 12.659, 6.03519e-05, 1.21091, 0.0486031, 10.8235, 0.647788, 709.138, 0.00613411, -5.22954, 0.2085, 9.20712
1, 49, 11.2593, 1.79942e-05, 2.88602, 0.114174, 3.34363, 0.19986, 718.361, 0.015386, -5.91317, 1.89071, 14.8874
