# vortex_number, sol, t0, t0_unc, DeltaP, DeltaP_unc, Gamma, Gamma_unc, slope, slope_unc, intercept, intercept_unc, U, U_unc, Diameter, Diameter_unc
5, 19, 14.1304, 3.20771e-05, 5.17548, 0.0802536, 14.8905, 0.344472, -4.08232, 0.253602, 723.947, 0.0101736, 8.2245, 0.483143, 122.467, 7.73199
1, 20, 12.0849, 0.00022199, 1.59297, 0.0449297, 56.446, 2.63677, -6.63784, 0.180268, 732.99, 0.0118575, 5.7925, 0.232495, 326.963, 20.1371
2, 20, 11.432, 9.72724e-05, 1.2263, 0.0866608, 9.91, 1.02163, -3.85179, 0.18512, 737.144, 0.00806119, 3.82, 0.25247, 37.8562, 4.63577
0, 21, 12.0258, 2.11743e-05, 1.25834, 0.0698282, 2.31872, 0.185936, 5.24454, 1.05393, 740.533, 0.00822573, 5.774, 1.3744, 13.3883, 3.36282
1, 21, 11.523, 1.6865e-05, 2.14501, 0.0953781, 1.59629, 0.108512, 1.563, 2.45271, 743.84, 0.0128201, 9.764, 0.579474, 15.5862, 1.40649
0, 24, 13.6715, 9.71487e-05, 1.07128, 0.0405745, 18.4354, 1.10573, -1.10255, 0.307519, 724.872, 0.0083022, 7.312, 0.380948, 134.8, 10.7094
1, 24, 13.0527, 0.000172921, 1.55869, 0.0276457, 69.7546, 2.13019, -3.08391, 0.123616, 727.252, 0.00867579, 6.925, 0.352423, 483.051, 28.6695
2, 24, 14.5129, 0.000134863, 0.630898, 0.051817, 11.819, 1.45473, -3.91231, 0.232304, 720.328, 0.00691266, 9.036, 0.310507, 106.796, 13.6476
3, 24, 12.2374, 4.36308e-05, 3.48383, 0.057812, 18.9252, 0.470038, -5.0545, 0.156674, 732.339, 0.00759088, 3.476, 0.199821, 65.784, 4.11951
0, 25, 11.6173, 0.000201196, 0.544519, 0.0109846, 71.3357, 2.48875, -5.83983, 0.0496659, 734.018, 0.0037041, 2.652, 0.259469, 189.182, 19.6509
