# sol, scatter
160, 0.222783
161, 0.22585
162, 0.227632
163, 0.209661
164, 0.211796
165, 0.201754
166, 0.215573
167, 0.208769
168, 0.216162
169, 0.212522
170, 0.204546
171, 0.175314
172, 0.205884
173, 0.199416
174, 0.197256
175, 0.201058
176, 0.202356
177, 0.201816
178, 0.199056
179, 0.190967
180, 0.201369
181, 0.197105
182, 0.201346
183, 0.197791
184, 0.205493
185, 0.202199
186, 0.192621
187, 0.200714
188, 0.21376
189, 0.216916
190, 0.216382
191, 0.216673
192, 0.209138
193, 0.229229
194, 0.208817
195, 0.230624
196, 0.207703
197, 0.214976
198, 0.206856
199, 0.201034
200, 0.205288
201, 0.197944
202, 0.210537
203, 0.215322
204, 0.20678
205, 0.20648
206, 0.212125
207, 0.196254
208, 0.200367
209, 0.203795
210, 0.206053
211, 0.199828
212, 0.189113
213, 0.181538
214, 0.195869
215, 0.182268
216, 0.203258
217, 0.227529
218, 0.196461
219, 0.19141
220, 0.183027
221, 0.18972
222, 0.186892
223, 0.174777
224, 0.183049
225, 0.184442
226, 0.192121
227, 0.174884
228, 0.200442
229, 0.191322
230, 0.191471
231, 0.178204
232, 0.240384
233, 0.195996
234, 0.184288
235, 0.196488
236, 0.197085
237, 0.200696
238, 0.198283
239, 0.204259
240, 0.185527
241, 0.206482
242, 0.187295
243, 0.18683
244, 0.200524
245, 0.181876
246, 0.166504
247, 0.189647
248, 0.193696
249, 0.180144
250, 0.182105
251, 0.19256
252, 0.204296
253, 0.183842
254, 0.198944
255, 0.180756
256, 0.180146
257, 0.189544
258, 0.172906
259, 0.174039
260, 0.182695
261, 0.187835
262, 0.183033
263, 0.187168
264, 0.197554
265, 0.184669
266, 0.159282
267, 0.17783
268, 0.169415
269, 0.134446
285, 0.177888
286, 0.173386
287, 0.169973
288, 0.18288
289, 0.183399
290, 0.189193
291, 0.156815
292, 0.169808
293, 0.174065
294, 0.185751
295, 0.180895
296, 0.176607
297, 0.185094
298, 0.168996
299, 0.173298
300, 0.180963
301, 0.174055
302, 0.160869
303, 0.170141
304, 0.172588
305, 0.168755
306, 0.168561
307, 0.170729
308, 0.174408
309, 0.174006
310, 0.181465
311, 0.164463
312, 0.171112
313, 0.174378
314, 0.168286
315, 0.184156
316, 0.157616
317, 0.651907
318, 0.165763
319, 0.1606
320, 0.183597
321, 0.197088
322, 0.177735
323, 0.177942
324, 0.186266
325, 0.160363
326, 0.160423
327, 0.168882
328, 0.178224
329, 0.170162
330, 0.183782
331, 0.178991
332, 0.169894
333, 0.161545
334, 0.182282
335, 0.170505
336, 0.159948
337, 0.171263
338, 0.178902
339, 0.182441
340, 0.172763
341, 0.167731
342, 0.180943
343, 0.173418
344, 0.166653
345, 0.180616
346, 0.179681
347, 0.173672
348, 0.1805
349, 0.162434
350, 0.176725
351, 0.179663
352, 0.172105
353, 0.183619
354, 0.168339
355, 0.188321
356, 0.18818
357, 0.183046
358, 0.17805
359, 0.179405
360, 0.168579
361, 0.181646
362, 0.172022
363, 0.18634
364, 0.186559
365, 0.177105
366, 0.161088
367, 0.180979
368, 0.170647
369, 0.169484
370, 0.311705
371, 0.17553
372, 0.173201
373, 0.16719
374, 0.179584
375, 0.219278
376, 0.18916
377, 0.200021
378, 0.18671
379, 0.172823
380, 0.202257
381, 0.183194
382, 0.174617
383, 0.183816
384, 0.188281
385, 0.182501
386, 0.186221
387, 0.183843
388, 0.187113
389, 0.179467
390, 0.187464
391, 0.190327
392, 0.186335
393, 0.187024
394, 0.192167
395, 0.208577
396, 0.179353
397, 0.208264
398, 0.1994
399, 0.198059
400, 0.204658
401, 0.213335
402, 0.208932
403, 0.208616
404, 0.208212
405, 0.199158
406, 0.209386
407, 0.213266
408, 0.187515
409, 0.200717
410, 0.193951
411, 0.199746
412, 0.226175
413, 0.19552
414, 0.217009
415, 0.242214
416, 0.206363
417, 0.223043
418, 0.224744
419, 0.250517
420, 0.249839
421, 0.241451
422, 0.260514
423, 0.218407
424, 0.234198
425, 0.290103
426, 0.232082
427, 0.247549
428, 0.254315
429, 0.269007
430, 0.233207
431, 0.242881
432, 0.247991
433, 0.228846
434, 0.235329
435, 0.183872
436, 0.257529
437, 0.254892
438, 0.24273
439, 0.251582
440, 0.260584
441, 0.295786
442, 0.300734
443, 0.290306
444, 0.274708
445, 0.275783
446, 0.298696
447, 0.27292
448, 0.28704
449, 0.274277
450, 0.303054
451, 0.307857
452, 0.303289
453, 0.303661
454, 0.300947
455, 0.311685
456, 0.312858
457, 0.323865
458, 0.337378
459, 0.34246
460, 0.330722
461, 0.342806
462, 0.358171
463, 0.349738
464, 0.340878
465, 0.344681
466, 0.339892
467, 0.342473
468, 0.353249
469, 0.330431
470, 0.336977
471, 0.340812
472, 0.33189
473, 0.334725
474, 0.358329
475, 0.372448
476, 0.370237
