# sol, t0, DeltaP, DeltaP_unc, Gamma, Gamma_unc, U, U_unc, Diameter, Diameter_unc
378, 10.6388, 1.10276, 0.0543549, 7.03583, 0.50746, 7.6265, 0.928109, 53.6588, 7.59073
378, 11.3944, 0.734782, 0.0250262, 54.6331, 2.7455, 13.479, 3.59976, 736.4, 200.117
378, 13.9603, 0.774013, 0.165512, 1.56757, 0.505142, 7.338, 0.00444781, 11.5028, 3.70674
378, 9.92798, 0.753392, 0.062783, 9.72321, 1.1892, 10.458, 1.70054, 101.685, 20.6898
379, 8.94941, 0.60882, 0.0309827, 9.82924, 0.750349, 9.8795, 0.745749, 97.108, 10.4252
379, 14.6265, 0.883265, 0.0666143, 2.43268, 0.2694, 8.364, 1.08082, 20.3469, 3.4627
380, 14.3393, 3.91742, 0.144251, 6.28737, 0.390907, 8.6325, 1.23056, 54.2757, 8.44087
380, 14.3392, 3.93458, 0.116249, 6.66662, 0.295781, 8.5495, 1.10528, 56.9963, 7.79033
381, 10.3253, 0.496148, 0.0247032, 62.4832, 6.73948, 11.052, 3.53897, 690.564, 233.334
381, 11.0386, 0.401118, 0.0150607, 75.8889, 5.58451, 11.1495, 2.45074, 846.123, 196.13
381, 11.9358, 1.07255, 0.0756914, 3.56745, 0.36769, 10.572, 1.31655, 37.7151, 6.0967
381, 11.376, 2.3134, 3.16184, 0.703626, 0.738341, 13.119, 0.332, 9.23087, nan
381, 13.8132, 1.3119, 0.0770274, 7.36021, 0.63853, 7.778, 0.434402, 57.2477, 5.90666
382, 13.6016, 0.897338, 0.0501184, 4.1041, 0.339056, 4.026, 0.247595, 16.5231, 1.70173
382, 13.4648, 1.37356, 0.0589269, 2.20576, 0.141059, 7.681, 0.0022239, 16.9424, 1.08349
382, 13.5058, 1.17561, 0.0804844, 10.28, 1.04658, 6.711, 1.46185, 68.9891, 16.5881
382, 10.2523, 1.54984, 0.0496593, 9.22391, 0.542761, 10.802, 1.90292, 99.6367, 18.5056
382, 10.2522, 1.55377, 0.0366763, 12.9435, 0.45409, 10.185, 2.33139, 131.83, 30.5287
383, 13.1247, 0.421209, 0.0179209, 73.4207, 5.64123, 5.061, 1.78209, 371.582, 133.921
383, 12.4661, 0.59633, 0.0222467, 53.9499, 3.30914, 12.086, 1.83176, 652.038, 106.609
383, 9.40916, 0.851899, 0.0379766, 3.6303, 0.235659, 9.2715, 0.777625, 33.6583, 3.56977
383, 13.9252, 1.61701, 0.40099, 0.931069, 0.22756, 7.805, 0.337, 7.26699, nan
383, 14.6819, 1.75329, 0.0356126, 4.37553, 0.130627, 4.513, 0.790227, 19.7468, 3.50756
385, 15.6131, 0.591831, 0.0174627, 9.40538, 0.512686, 6.998, 0.435144, 65.8188, 5.44263
385, 11.02, 0.902283, 0.0815748, 11.1519, 1.96394, 9.4745, 1.70499, 105.659, 26.6038
385, 15.613, 0.56384, 0.0298062, 7.08829, 0.545511, 7.749, 1.31877, 54.9272, 10.2592
385, 11.0199, 0.894105, 0.0562694, 13.3713, 1.26393, 9.017, 1.278, 120.569, 20.5404
385, 12.5572, 5.15373, 0.272855, 1.43416, 0.10985, 9.84, 0.453676, 14.1121, 1.26164
386, 14.5488, 1.21503, 0.259922, 0.914944, 0.209197, 14.01, 0.514, 12.8184, nan
387, 9.96576, 0.778634, 0.0842311, 1.74768, 0.279913, 11.302, 3.32622, 19.7523, 6.61824
387, 13.0872, 0.7885, 0.0470284, 31.7406, 3.21255, 8.274, 0.9118, 262.622, 39.2953
387, 13.087, 0.791984, 0.0509046, 31.1895, 3.35927, 8.2715, 0.90587, 257.984, 39.6275
387, 13.0855, 0.969855, 0.0356779, 45.6171, 2.46535, 11.466, 2.66868, 523.046, 124.976
387, 9.47631, 0.58033, 0.0486769, 5.85171, 0.817967, 7.5845, 0.986672, 44.3823, 8.47489
387, 9.47539, 0.425154, 0.0229626, 33.0394, 3.1885, 11.5645, 3.71688, 382.084, 128.22
387, 9.9441, 1.15397, 0.0721816, 6.41994, 0.596591, 8.43, 2.49374, 54.1201, 16.781
387, 10.9907, 1.6881, 0.0805406, 3.32436, 0.235796, 8.529, 0.885114, 28.3535, 3.56405
388, 11.9042, 1.70966, 0.065662, 6.00616, 0.348134, 10.241, 1.57378, 61.5091, 10.1024
388, 11.866, 2.16023, 0.134137, 9.86819, 1.14764, 9.928, 1.84287, 97.9714, 21.4603
388, 11.866, 2.16836, 0.0759331, 9.73169, 0.510922, 9.7885, 1.7213, 95.2586, 17.4818
389, 16.156, 0.503031, 0.0638436, 36.45, 6.24, 5.66, 0.880666, 206.307, 47.7265
389, 16.1559, 0.544537, 0.222023, 45.3368, 13.1552, 6.21, 0.876218, 281.542, 90.8402
389, 16.1435, 0.324523, 0.181008, 3.29139, 2.70349, 2.9015, 0.207564, 9.54997, 7.87387
389, 16.1558, 0.664827, 0.0323782, 41.7253, 3.25866, 5.935, 0.9118, 247.64, 42.6787
389, 14.5893, 0.737231, 0.0388714, 7.97135, 0.620318, 8.1155, 4.36404, 64.6915, 35.1497
389, 16.155, 0.542519, 0.0508358, 33.6746, 5.05559, 5.366, 0.873253, 180.698, 40.0085
391, 9.84381, 0.630906, 0.0456039, 4.39791, 0.464958, 10.239, 2.301, 45.0302, 11.1835
391, 13.8841, 1.05815, 0.0286731, 20.8884, 1.16632, 4.0115, 0.054115, 83.7938, 4.81331
391, 13.884, 1.02163, 0.0278728, 22.6515, 0.907675, 4.002, 0.022239, 90.6513, 3.66728
