# vortex_number, sol, t0, t0_unc, DeltaP, DeltaP_unc, Gamma, Gamma_unc, intercept, intercept_unc, slope, slope_inc, convolution
2, 364, 10.2755, 0.000138617, 0.660548, 0.0349559, 25.7462, 2.67018, 658.538, 0.0373152, 7.49254, 2.25082, 5.37013
3, 364, 10.2738, 0.000441758, 0.523075, 0.0206999, 80.324, 4.84688, 658.631, 0.00390135, -4.9358, 0.019988, 5.59436
4, 364, 9.18445, 2.73787e-05, 0.714102, 0.0355036, 3.94409, 0.286768, 665.967, 0.00354549, -7.2986, 0.228795, 5.71343
5, 364, 13.4642, 0.000105741, 3.40912, 0.102353, 26.8956, 1.73796, 650.255, 0.0870042, 22.72, 4.80673, 9.32187
6, 364, 13.4641, 0.000150516, 3.08328, 0.175046, 22.5971, 2.71237, 649.87, 0.1759, 9.69319, 11.8495, 9.86669
7, 364, 13.464, 0.000169337, 2.89759, 0.196035, 20.8379, 2.97468, 649.673, 0.190367, 0.0972947, 13.9522, 10.3526
8, 364, 13.4639, 4.91763e-05, 3.5144, 0.0398562, 31.2102, 0.531636, 650.462, 0.00542659, -2.30599, 0.0715044, 10.3705
9, 364, 13.9317, 3.7844e-05, 1.95614, 0.0841911, 6.32899, 0.407772, 649.643, 0.0110734, 2.86428, 0.685627, 13.4824
0, 365, 14.5545, 0.000145567, 0.782272, 0.0567124, 19.3822, 2.69304, 648.141, 0.0589149, 10.0735, 4.60464, 5.15633
1, 365, 14.6785, 1.58508e-05, 0.800144, 0.122457, 1.36957, 0.26959, 648.153, 0.00622431, -1.10195, 1.17631, 5.39487
2, 365, 9.61973, 3.16734e-05, 0.778225, 0.0350247, 5.06522, 0.332155, 661.132, 0.00319855, -6.80338, 0.138882, 5.71098
3, 365, 13.4786, 6.00373e-05, 1.37168, 0.235521, 2.36286, 0.573696, 649.995, 0.00695668, -2.18943, 0.0260694, 6.16588
4, 365, 13.4786, 2.00251e-05, 1.42579, 0.0534666, 3.82602, 0.213304, 650.193, 0.00663894, -2.35995, 0.623375, 6.19665
5, 365, 14.5537, 0.000149985, 0.816227, 0.0263157, 33.4854, 1.61537, 648.285, 0.00344734, -1.00499, 0.0400209, 8.62771
0, 366, 15.7448, 0.000715338, 0.315821, 0.00540286, 300, 8.43975, 647.38, 0.00136807, 0.139516, 0.00381944, 5.3148
1, 366, 11.5537, 6.39779e-05, 0.945236, 0.0924312, 4.7134, 0.685921, 653.63, 0.0113835, -13.3466, 0.853536, 5.71306
2, 366, 15.1824, 2.64341e-05, 0.623542, 0.020982, 5.6563, 0.275998, 647.122, 0.00173401, 2.89438, 0.0570935, 5.84626
3, 366, 14.4359, 5.3467e-05, 0.814443, 0.0343529, 9.12648, 0.557745, 647.103, 0.00278616, -0.0927968, 0.0551854, 5.96515
4, 366, 11.6693, 0.00015156, 0.766633, 0.0419842, 19.7676, 1.9163, 653.301, 0.0148038, -1.24342, 0.802391, 6.59315
5, 366, 11.6695, 0.000128551, 0.735132, 0.0459042, 14.8207, 1.36475, 653.226, 0.00505198, -1.75438, 0.101519, 7.07571
6, 366, 12.5164, 8.18948e-05, 1.78848, 0.0680022, 16.7484, 1.34994, 651.253, 0.0583519, -4.58765, 5.03521, 7.2965
7, 366, 12.5163, 8.66895e-05, 1.89727, 0.0659817, 19.1666, 1.44837, 651.399, 0.0583209, -17.2834, 4.54743, 9.79526
8, 366, 12.5165, 7.66104e-05, 1.93413, 0.0445196, 23.9585, 0.821155, 651.537, 0.00552734, -2.97655, 0.0829299, 10.7373
0, 367, 12.0652, 7.17874e-06, 2.00222, 0.154093, 1.47613, 0.151377, 651.791, 0.00865734, 3.15374, 1.62178, 5.80021
1, 367, 12.3636, 8.44674e-05, 1.41716, 0.0524919, 18.8455, 1.45863, 650.583, 0.0483978, 51.6925, 3.95046, 6.67493
2, 367, 9.7139, 5.61996e-05, 0.863331, 0.0665613, 5.24577, 0.605205, 659.18, 0.00874061, -9.03992, 0.648782, 6.98075
3, 367, 12.363, 0.000140052, 1.5956, 0.0862532, 25.6783, 2.69782, 650.827, 0.0928119, 8.79834, 5.60638, 6.99531
4, 367, 12.0771, 8.2317e-06, 2.42595, 0.126624, 1.75813, 0.134203, 651.815, 0.010767, 0.288025, 2.00284, 7.44765
5, 367, 9.19372, 0.000110717, 0.463872, 0.0220527, 16.764, 1.18852, 663.533, 0.00299189, -9.91385, 0.0612807, 7.79208
6, 367, 12.3624, 9.32838e-05, 1.8916, 0.0330641, 38.4191, 0.993196, 651.242, 0.00379034, -3.22032, 0.0312465, 7.83267
0, 368, 8.89222, 9.12604e-05, 0.449915, 0.109458, 1.93634, 0.693599, 664.784, 0.0157103, -11.2947, 2.95802, 5.14255
1, 368, 14.691, 4.11128e-05, 0.877842, 0.0503373, 5.14592, 0.481924, 647.012, 0.0122922, 14.3317, 1.92945, 5.39107
2, 368, 16.4802, 0.000480611, 0.164098, 0.00537709, 104.54, 6.26588, 646.526, 0.00219371, 0.802217, 0.0239462, 5.43981
3, 368, 14.6911, 5.68436e-05, 0.780717, 0.0962585, 3.23485, 0.576968, 646.859, 0.00868126, 8.37977, 0.567616, 6.61023
4, 368, 11.3684, 1.45859e-05, 1.3332, 0.0536652, 2.18297, 0.127485, 651.393, 0.00607842, 1.2253, 0.782027, 9.76573
0, 372, 15.6808, 0.000322267, 0.317045, 0.018755, 39.0967, 3.78208, 640.829, 0.00460198, -0.321475, 0.0963203, 6.68132
0, 373, 9.38409, 2.92475e-05, 0.756209, 0.0348853, 4.56473, 0.308354, 656.075, 0.00346814, -10.8592, 0.191411, 5.31719
1, 373, 15.245, 4.70572e-05, 1.04571, 0.0229407, 16.7111, 0.77646, 641.185, 0.0196883, -0.392617, 1.70422, 5.50509
2, 373, 15.2451, 5.68967e-05, 1.01676, 0.0272709, 15.3519, 0.869416, 641.142, 0.0191856, 2.65517, 1.78674, 7.09823
3, 373, 15.245, 3.84742e-05, 1.06921, 0.015209, 19.4715, 0.409891, 641.243, 0.00175236, -0.858157, 0.0289415, 7.11845
0, 374, 13.7241, 3.57051e-05, 0.977049, 0.102078, 2.52747, 0.393411, 641.776, 0.0114924, -1.583, 1.45254, 5.48059
1, 374, 11.1438, 7.14289e-05, 0.658883, 0.0382033, 8.86768, 0.766739, 647.663, 0.00482514, -3.3606, 0.200442, 5.54616
2, 374, 12.1141, 2.22375e-05, 1.22986, 0.0522734, 3.77005, 0.238474, 646.031, 0.00641645, -1.72911, 0.603202, 5.68541
3, 374, 14.3153, 1.93896e-05, 1.68189, 0.05989, 3.90004, 0.204454, 640.919, 0.00659234, 8.13429, 0.504507, 9.73351
4, 374, 10.8216, 3.30082e-05, 1.49992, 0.0643071, 5.54241, 0.353163, 648.646, 0.00780478, -4.36556, 0.490021, 9.88334
0, 376, 11.6479, 7.39125e-06, 4.36346, 0.964584, 0.976923, 0.206539, 643.178, 0.0154955, 5.67037, 2.94089, 18.5887
0, 377, 9.26489, 2.18431e-05, 1.4937, 0.459017, 1.22346, 0.450691, 653.808, 0.0233659, -4.93544, 3.27368, 5.05436
1, 377, 14.6767, 6.66016e-05, 0.45272, 0.109306, 0.922764, 0.303941, 637.332, 0.00629567, 3.21196, 1.23082, 5.54016
2, 377, 9.88806, 0.00014364, 0.484794, 0.0297424, 16.8487, 1.5683, 649.038, 0.00456776, -7.1492, 0.12394, 6.67792
3, 377, 9.26489, 2.31045e-05, 1.47971, 0.449513, 1.24973, 0.452318, 653.813, 0.0170024, -11.9067, 3.22569, 10.3071
4, 377, 13.0663, 3.62669e-05, 2.00419, 0.0491237, 10.6525, 0.383528, 639.838, 0.00510718, 0.237375, 0.131268, 10.6863
0, 378, 13.1151, 5.35596e-05, 0.799724, 0.0766395, 4.03947, 0.568177, 640.555, 0.00771292, -0.00443146, 0.49751, 5.13927
1, 378, 11.3974, 0.00015726, 0.60256, 0.0373523, 20.1122, 2.69175, 643.048, 0.034438, 23.2922, 2.59689, 5.29356
2, 378, 10.6388, 4.81695e-05, 1.10276, 0.0543549, 7.03583, 0.50746, 644.606, 0.00532483, -3.28751, 0.187967, 5.53037
3, 378, 11.3944, 0.000258473, 0.734782, 0.0250262, 54.6331, 2.7455, 643.318, 0.00279326, -1.33688, 0.0153515, 5.73494
4, 378, 13.9603, 7.78544e-05, 0.774013, 0.165512, 1.56757, 0.505142, 638.965, 0.0169192, 5.13466, 2.22087, 5.77531
5, 378, 9.92798, 0.000112548, 0.753392, 0.062783, 9.72321, 1.1892, 648.369, 0.00649745, -7.3794, 0.177761, 7.70279
0, 379, 8.94941, 6.94954e-05, 0.60882, 0.0309827, 9.82924, 0.750349, 655.816, 0.00421312, -9.31777, 0.17116, 5.60154
1, 379, 14.6265, 2.23997e-05, 0.883265, 0.0666143, 2.43268, 0.2694, 637.779, 0.00470184, -1.07956, 0.311304, 6.5055
0, 380, 14.3393, 3.23169e-05, 3.91742, 0.144251, 6.28737, 0.390907, 637.284, 0.0414076, 14.5547, 6.12344, 14.4613
1, 380, 14.3392, 2.73658e-05, 3.93458, 0.116249, 6.66662, 0.295781, 637.356, 0.0157886, 0.338279, 0.971686, 15.8818
0, 381, 10.3253, 0.000415853, 0.496148, 0.0247032, 62.4832, 6.73948, 647.239, 0.0203667, -1.94476, 0.481773, 5.02603
1, 381, 11.0386, 0.000400263, 0.401118, 0.0150607, 75.8889, 5.58451, 644.401, 0.0079442, -3.37522, 0.134768, 5.10957
2, 381, 11.9358, 3.49108e-05, 1.07255, 0.0756914, 3.56745, 0.36769, 642.574, 0.00711039, 5.14185, 0.462245, 6.87277
3, 381, 11.376, 4.22124e-05, 2.3134, 3.16184, 0.703626, 0.738341, 643.643, 0.0194128, 15.6073, 3.70605, 8.89269
4, 381, 13.8132, 6.00293e-05, 1.3119, 0.0770274, 7.36021, 0.63853, 638.699, 0.00869353, -0.215487, 0.368157, 9.12562
0, 382, 13.6016, 3.17523e-05, 0.897338, 0.0501184, 4.1041, 0.339056, 638.256, 0.00566158, 0.317358, 0.431367, 6.52004
1, 382, 13.4648, 1.18069e-05, 1.37356, 0.0589269, 2.20576, 0.141059, 638.716, 0.00577108, 5.89736, 0.736456, 7.27068
2, 382, 12.27, 0.000398897, 0.675396, 0.0176072, 109.897, 4.61289, 641.231, 0.00400727, -1.31547, 0.027315, 7.28708
3, 382, 13.5058, 9.77683e-05, 1.17561, 0.0804844, 10.28, 1.04658, 638.63, 0.00983661, -2.45201, 0.336475, 8.1125
4, 382, 10.2523, 4.14727e-05, 1.54984, 0.0496593, 9.22391, 0.542761, 645.97, 0.020245, -0.58354, 2.56426, 9.77588
5, 382, 10.2522, 4.24426e-05, 1.55377, 0.0366763, 12.9435, 0.45409, 646.114, 0.00445676, -4.46467, 0.119827, 10.0754
0, 383, 13.1247, 0.000437956, 0.421209, 0.0179209, 73.4207, 5.64123, 638.738, 0.00684582, -0.616383, 0.105174, 5.08155
1, 383, 12.4661, 0.000280522, 0.59633, 0.0222467, 53.9499, 3.30914, 639.901, 0.00563493, -1.70643, 0.0872217, 5.4248
2, 383, 9.40916, 2.27259e-05, 0.851899, 0.0379766, 3.6303, 0.235659, 650.602, 0.00363198, -11.7044, 0.235479, 7.25856
3, 383, 13.9252, 1.9499e-05, 1.61701, 0.40099, 0.931069, 0.22756, 637.193, 0.00815023, 0.231355, 1.57102, 8.09413
4, 383, 14.6819, 1.23625e-05, 1.75329, 0.0356126, 4.37553, 0.130627, 635.968, 0.0037635, -0.210431, 0.241285, 10.2695
0, 385, 15.6131, 3.89456e-05, 0.591831, 0.0174627, 9.40538, 0.512686, 633.055, 0.00728871, 5.37299, 0.913047, 5.74263
1, 385, 11.02, 0.000141235, 0.902283, 0.0815748, 11.1519, 1.96394, 640.58, 0.0420078, 2.10649, 4.75146, 5.86087
2, 385, 15.613, 5.20451e-05, 0.56384, 0.0298062, 7.08829, 0.545511, 632.998, 0.00267148, -2.73565, 0.0805239, 6.49257
3, 385, 11.0199, 0.000116915, 0.894105, 0.0562694, 13.3713, 1.26393, 640.615, 0.00765839, -0.290808, 0.235511, 6.99502
4, 385, 11.4835, 0.000624245, 0.465917, 0.0130898, 159.114, 7.58847, 639.844, 0.00390981, -1.07041, 0.0230218, 7.33165
5, 385, 12.5572, 1.33458e-05, 5.15373, 0.272855, 1.43416, 0.10985, 638.461, 0.0246466, 4.27251, 4.71618, 28.0219
0, 386, 9.00657, 3.37011e-05, 1.78172, 5.16547, 0.5, 0.91619, 651.534, 0.00757512, -8.55744, 1.46944, 5.57382
1, 386, 14.5488, 2.86251e-05, 1.21503, 0.259922, 0.914944, 0.209197, 632.964, 0.00764805, 0.848398, 1.48539, 9.71959
0, 387, 9.96576, 2.62163e-05, 0.778634, 0.0842311, 1.74768, 0.279913, 642.98, 0.00873977, 6.52305, 1.64118, 5.0169
1, 387, 13.0872, 0.000149012, 0.7885, 0.0470284, 31.7406, 3.21255, 635.114, 0.0525409, 25.5898, 2.47395, 5.14198
2, 387, 13.087, 0.000157993, 0.791984, 0.0509046, 31.1895, 3.35927, 635.111, 0.057278, 21.6213, 2.79901, 5.22335
3, 387, 13.0855, 0.000233093, 0.969855, 0.0356779, 45.6171, 2.46535, 635.327, 0.0037397, -1.74183, 0.0223863, 5.358
4, 387, 9.47631, 6.84618e-05, 0.58033, 0.0486769, 5.85171, 0.817967, 646.063, 0.013135, 5.72972, 1.9901, 5.8649
5, 387, 9.47539, 0.000250011, 0.425154, 0.0229626, 33.0394, 3.1885, 646.222, 0.00845084, -3.34696, 0.279971, 6.82154
6, 387, 9.9441, 5.57847e-05, 1.15397, 0.0721816, 6.41994, 0.596591, 643.095, 0.00873054, -7.58985, 0.469762, 8.29488
7, 387, 10.9907, 2.15822e-05, 1.6881, 0.0805406, 3.32436, 0.235796, 638.385, 0.0090917, 12.4405, 0.863777, 10.6478
0, 388, 11.9042, 3.20526e-05, 1.70966, 0.065662, 6.00616, 0.348134, 637.17, 0.00936466, -4.44592, 0.684855, 8.07134
1, 388, 11.866, 8.60136e-05, 2.16023, 0.134137, 9.86819, 1.14764, 637.204, 0.0590462, 17.9003, 7.209, 8.44561
2, 388, 11.866, 4.73467e-05, 2.16836, 0.0759331, 9.73169, 0.510922, 637.202, 0.0101435, 0.471917, 0.417424, 11.6121
0, 389, 16.156, 0.00027617, 0.503031, 0.0638436, 36.45, 6.24, 629.315, 0.0683992, 8.51263, 3.1365, 5.07155
1, 389, 16.1559, 0.000703568, 0.544537, 0.222023, 45.3368, 13.1552, 629.369, 0.218392, 9.21379, 11.2986, 5.22708
2, 389, 16.1435, 0.000249555, 0.324523, 0.181008, 3.29139, 2.70349, 629.255, 0.0182845, -16.4716, 1.38129, 5.32501
3, 389, 16.1558, 0.000161768, 0.664827, 0.0323782, 41.7253, 3.25866, 629.465, 0.0350997, 1.36939, 1.42628, 5.46068
4, 389, 11.5957, 0.00143743, 0.389638, 0.0280958, 300, 32.9782, 636.864, 0.0312561, -0.756711, 0.15401, 5.56194
5, 389, 14.5893, 5.83825e-05, 0.737231, 0.0388714, 7.97135, 0.620318, 633.07, 0.00432198, -0.821508, 0.165081, 5.70627
6, 389, 16.155, 0.000226469, 0.542519, 0.0508358, 33.6746, 5.05559, 629.338, 0.0566172, -8.17671, 2.5002, 6.07382
7, 389, 16.1515, 0.000631081, 0.69864, 0.010559, 300, 7.2445, 629.881, 0.00285203, -2.71378, 0.00549606, 6.1002
0, 391, 9.84381, 4.41334e-05, 0.630906, 0.0456039, 4.39791, 0.464958, 642.684, 0.00442173, -3.32613, 0.245552, 5.32272
1, 391, 13.8841, 7.89832e-05, 1.05815, 0.0286731, 20.8884, 1.16632, 632.868, 0.0181512, -0.331392, 1.20684, 6.01477
2, 391, 13.884, 8.58408e-05, 1.02163, 0.0278728, 22.6515, 0.907675, 632.862, 0.00290245, -2.73689, 0.0348576, 6.24966
3, 391, 9.19642, 3.6188e-05, 0.919772, 0.0649006, 3.66532, 0.377101, 647.217, 0.00622465, -10.0215, 0.403615, 9.45752
0, 392, 11.4326, 0.000163702, 0.673781, 0.0438485, 19.7169, 2.77671, 636.095, 0.0399099, -2.09847, 3.04677, 5.14152
1, 392, 12.1319, 4.04022e-05, 1.01889, 0.12032, 2.37031, 0.421665, 635.612, 0.0170838, -5.42185, 3.13212, 5.20007
2, 392, 11.4326, 0.000169971, 0.691255, 0.0479379, 20.7239, 2.99954, 636.116, 0.0468418, -1.90791, 3.47055, 5.4158
3, 392, 14.8263, 6.2544e-05, 1.03768, 0.0256801, 22.4899, 1.13854, 630.784, 0.026123, -5.05486, 1.80615, 5.56984
4, 392, 11.4327, 0.000173575, 0.741473, 0.0502709, 23.4212, 3.21065, 636.176, 0.0521735, 0.123082, 3.46232, 5.58275
5, 392, 11.4327, 0.000272734, 0.775084, 0.0267882, 56.8064, 2.91431, 636.395, 0.00322389, -1.32577, 0.0192067, 5.5935
