sol, median_wind, 0_median_wind, 0_hour_fraction, 1_median_wind, 1_hour_fraction, 2_median_wind, 2_hour_fraction, 3_median_wind, 3_hour_fraction, 4_median_wind, 4_hour_fraction, 5_median_wind, 5_hour_fraction, 6_median_wind, 6_hour_fraction, 7_median_wind, 7_hour_fraction, 8_median_wind, 8_hour_fraction, 9_median_wind, 9_hour_fraction, 10_median_wind, 10_hour_fraction, 11_median_wind, 11_hour_fraction, 12_median_wind, 12_hour_fraction, 13_median_wind, 13_hour_fraction, 14_median_wind, 14_hour_fraction, 15_median_wind, 15_hour_fraction, 16_median_wind, 16_hour_fraction, 17_median_wind, 17_hour_fraction, 18_median_wind, 18_hour_fraction, 19_median_wind, 19_hour_fraction, 20_median_wind, 20_hour_fraction, 21_median_wind, 21_hour_fraction, 22_median_wind, 22_hour_fraction, 23_median_wind, 23_hour_fraction
201, 3.718, 3.661, 0.999444, 3.624, 0.999444, 3.12, 0.999444, 3.585, 0.999444, 3.586, 0.999444, 1.665, 0.999444, 2.427, 0.999444, 4.551, 0.999444, 8.024, 0.999444, 9.15, 0.999167, 9.436, 0.999444, 8.311, 0.999444, 8.934, 0.999444, 6.8225, 0.999444, 7.604, 0.999444, 8.762, 0.999722, 6.418, 0.969167, 0.6935, 0.976111, 1.221, 0.995, 1.162, 0.999444, 1.895, 0.998889, 2.57, 0.999167, 3.161, 0.999444, 3.512, 0.999722
202, 3.652, 3.556, 0.999444, 3.639, 0.999444, 3.597, 0.999444, 3.2625, 0.999722, 3.326, 0.999444, 2.297, 0.999444, 1.862, 0.999444, 4.138, 0.999444, 8.268, 0.999444, 10.971, 0.999444, 11.329, 0.999444, 10.4615, 0.999444, 9.448, 0.999444, 8.306, 0.999444, 7.4, 0.999722, 8.395, 0.999444, 6.295, 0.965278, 0.4515, 0.9875, 1.984, 0.998333, 1.848, 0.999444, 2.035, 0.999167, 2.305, 0.999444, 3.576, 0.999444, 3.323, 0.999444
203, 3.677, 3.432, 0.999444, 3.73, 0.999444, 3.556, 0.999722, 3.132, 0.999444, 2.896, 0.999444, 1.675, 0.999444, 2.567, 0.999444, 4.209, 0.999167, 9.2435, 0.999444, 11.064, 0.999444, 11.291, 0.999444, 9.841, 0.999444, 9.151, 0.999722, 8.404, 0.999444, 7.248, 0.999444, 8.037, 0.999444, 6.808, 0.999444, 0.633, 0.996667, 1.999, 0.995278, 0.69, 0.994167, 2.033, 0.999444, 2.034, 0.999444, 3.701, 0.999444, 3.357, 0.999444
204, 3.717, 3.676, 0.999444, 3.65, 0.999722, 3.461, 0.999444, 2.984, 0.999444, 1.57, 0.999444, 1.686, 0.999444, 2.621, 0.999444, 5.898, 0.999444, 9.5095, 0.999444, 10.748, 0.999444, 9.9175, 0.999444, 9.836, 0.999167, 7.5575, 0.999444, 7.8, 0.999444, 7.34, 0.999444, 8.414, 0.999444, 6.195, 0.999722, 0.461, 0.997778, 2.366, 0.999444, 2.115, 0.999444, 2.046, 0.998333, 2.318, 0.999444, 3.45, 0.999444, 3.408, 0.999444
205, 3.563, 3.539, 0.999444, 3.504, 0.999444, 3.443, 0.999444, 2.856, 0.999444, 2.008, 0.999167, 1.442, 0.999444, 2.836, 0.999722, 6.827, 0.999444, 10.378, 0.999444, 10.274, 0.999167, 10.468, 0.999444, 9.032, 0.999444, 8.8685, 0.999444, 8.047, 0.999444, 7.333, 0.999722, 8.752, 0.999444, 6.168, 0.996944, 0.434, 0.993889, 2.3555, 0.999444, 2.116, 0.982778, 2.04, 0.999722, 2.022, 0.999444, 3.187, 0.999444, 2.904, 0.999444
206, 3.643, 3.517, 0.999444, 3.616, 0.999444, 3.431, 0.999167, 3.081, 0.999444, 3.193, 0.999722, 2.068, 0.999444, 2.313, 0.999444, 7.0105, 0.999167, 9.966, 0.999444, 10.975, 0.999444, 11.198, 0.999444, 10.425, 0.999444, 9.257, 0.999722, 8.7605, 0.999444, 8.366, 0.999444, 8.565, 0.999444, 6.1925, 0.998056, 0.6735, 0.963333, 1.843, 0.974444, 1.786, 0.977778, 1.8805, 0.999444, 2.015, 0.999444, 3.548, 0.999444, 3.479, 0.999444
207, 3.635, 3.534, 0.999444, 3.86, 0.999444, 3.434, 0.999444, 3.092, 0.999444, 3.057, 0.999444, 1.919, 0.999444, 2.365, 0.999444, 6.0925, 0.999444, 9.4435, 0.999444, 10.7055, 0.999722, 10.628, 0.999444, 10.31, 0.999444, 8.9865, 0.999444, 8.703, 0.999444, 8.562, 0.999444, 8.67, 0.999444, 5.945, 0.999444, 1.468, 0.999444, 0.953, 0.999444, 0.957, 0.999722, 0.9475, 0.999167, 2.359, 0.999444, 3.565, 0.999444, 3.592, 0.999444
208, 3.616, 3.582, 0.999722, 3.526, 0.999444, 3.345, 0.999444, 3.154, 0.999444, 2.782, 0.999444, 2.9925, 0.998889, 2.0575, 0.999722, 7.016, 0.999444, 10.0005, 0.999444, 10.666, 0.999167, 10.292, 0.999444, 9.832, 0.999444, 8.651, 0.999444, 7.865, 0.999444, 7.462, 0.999722, 8.04, 0.999444, 5.341, 0.999167, 0.472, 0.993333, 2.383, 0.998889, 2.162, 0.999167, 2.108, 0.998889, 2.055, 0.999444, 3.448, 0.999444, 3.63, 0.999167
209, 3.703, 3.595, 0.999167, 3.531, 0.999444, 3.455, 0.999444, 3.382, 0.999444, 3.33, 0.999444, 2.7805, 0.999722, 1.604, 0.999167, 6.639, 0.999444, 8.909, 0.999444, 10.1015, 0.999722, 11.024, 0.999444, 10.099, 0.999444, 8.758, 0.999444, 7.468, 0.999444, 8.115, 0.999167, 7.714, 0.999444, 5.8955, 0.991111, 0.444, 0.984722, 2.094, 0.998889, 1.824, 0.998056, 2.055, 0.999444, 2.029, 0.999444, 3.719, 0.999444, 3.491, 0.999722
210, 3.704, 3.538, 0.999722, 3.522, 0.999444, 3.317, 0.999444, 3.283, 0.999444, 3.334, 0.999167, 3.417, 0.999722, 2.66, 0.999444, 5.5005, 0.999444, 9.512, 0.999444, 11.153, 0.999444, 11.439, 0.999444, 10.739, 0.999444, 9.52, 0.999444, 9.554, 0.999444, 9.1595, 0.999722, 8.786, 0.999444, 6.192, 0.989444, 0.447, 0.977222, 1.559, 0.991944, 1.861, 0.999167, 1.922, 0.999444, 2.197, 0.999444, 3.726, 0.999444, 3.318, 0.999167
