_DROP_ ; _LTST_ ; SOL ; YYYY-MM-DDTHH:MM:SS.sss ; RATIO
-2.290 ; 12.264 ; 180 ; 2019-150T16:52:44.138Z ; 1.000
-2.290 ; 12.591 ; 324 ; 2019-298T15:37:04.977Z ; 1.000
-2.280 ; 13.166 ; 015 ; 2018-346T05:22:57.232Z ; 1.000
-2.271 ; 12.088 ; 390 ; 2020-001T10:29:30.304Z ; 0.977
-2.264 ; 12.925 ; 248 ; 2019-220T14:03:22.640Z ; 1.000
-2.240 ; 10.677 ; 263 ; 2019-235T21:34:58.632Z ; 1.000
-2.236 ; 13.595 ; 115 ; 2019-083T23:45:04.115Z ; 1.000
-2.235 ; 11.265 ; 163 ; 2019-133T04:44:35.167Z ; 1.000
-2.234 ; 12.631 ; 177 ; 2019-147T15:17:41.927Z ; 1.000
-2.226 ; 11.747 ; 029 ; 2018-360T13:13:53.557Z ; 1.000
-2.214 ; 11.921 ; 261 ; 2019-233T21:32:56.455Z ; 0.999
-2.212 ; 12.487 ; 172 ; 2019-142T11:52:46.376Z ; 1.000
-2.209 ; 12.394 ; 155 ; 2019-125T00:40:28.859Z ; 1.000
-2.206 ; 10.359 ; 173 ; 2019-143T10:20:48.705Z ; 1.000
-2.206 ; 11.259 ; 308 ; 2019-282T03:43:53.964Z ; 1.000
-2.202 ; 10.997 ; 075 ; 2019-042T18:50:34.838Z ; 1.000
-2.195 ; 10.759 ; 141 ; 2019-110T13:50:42.238Z ; 1.000
-2.172 ; 11.344 ; 394 ; 2020-005T12:21:25.041Z ; 1.000
-2.170 ; 15.607 ; 156 ; 2019-126T04:37:44.311Z ; 1.000
-2.162 ;  9.996 ; 168 ; 2019-138T06:42:24.811Z ; 1.000
-2.158 ; 14.117 ; 220 ; 2019-191T20:56:30.317Z ; 1.000
-2.157 ; 11.523 ; 021 ; 2018-352T07:41:12.030Z ; 1.000
-2.156 ; 10.995 ; 313 ; 2019-287T06:44:49.984Z ; 1.000
-2.154 ; 12.341 ; 314 ; 2019-288T08:47:13.831Z ; 1.000
-2.140 ; 12.130 ; 299 ; 2019-272T22:42:44.355Z ; 1.000
-2.135 ; 14.483 ; 223 ; 2019-194T23:16:49.895Z ; 1.000
-2.134 ; 11.024 ; 250 ; 2019-222T13:24:51.283Z ; 1.000
-2.134 ; 11.194 ; 336 ; 2019-310T22:04:23.018Z ; 1.000
-2.129 ; 13.088 ; 238 ; 2019-210T07:40:15.892Z ; 1.000
-2.121 ; 15.742 ; 257 ; 2019-229T22:51:03.274Z ; 1.000
-2.119 ;  9.938 ; 019 ; 2018-350T04:43:40.368Z ; 1.000
-2.113 ; 13.367 ; 055 ; 2019-022T08:06:07.766Z ; 1.000
-2.097 ; 12.356 ; 176 ; 2019-146T14:21:33.419Z ; 1.000
-2.097 ; 13.729 ; 029 ; 2018-360T15:16:03.412Z ; 1.000
-2.082 ; 12.305 ; 264 ; 2019-236T23:54:40.658Z ; 1.000
-2.074 ; 10.696 ; 204 ; 2019-175T06:57:30.559Z ; 1.000
-2.071 ; 12.364 ; 367 ; 2019-342T19:39:26.900Z ; 1.000
-2.066 ; 14.070 ; 129 ; 2019-098T09:23:56.330Z ; 1.000
-2.048 ; 16.479 ; 400 ; 2020-011T21:34:27.974Z ; 1.000
-2.036 ; 10.482 ; 195 ; 2019-166T00:51:13.954Z ; 1.000
-2.036 ; 11.904 ; 388 ; 2019-364T08:59:19.763Z ; 1.000
-2.014 ; 14.606 ; 014 ; 2018-345T06:20:08.842Z ; 0.790
-2.013 ; 13.255 ; 217 ; 2019-188T18:13:50.907Z ; 0.543
-2.005 ; 12.204 ; 318 ; 2019-292T11:16:35.490Z ; 1.000
-2.000 ; 13.906 ; 203 ; 2019-174T09:36:08.245Z ; 1.000
-1.993 ; 15.891 ; 018 ; 2018-349T10:10:47.526Z ; 1.000
-1.991 ; 12.406 ; 114 ; 2019-082T21:52:27.281Z ; 1.000
-1.991 ; 12.667 ; 360 ; 2019-335T15:22:00.193Z ; 1.000
-1.989 ;  9.903 ; 166 ; 2019-136T05:18:14.006Z ; 1.000
-1.979 ; 12.289 ; 213 ; 2019-184T14:28:58.228Z ; 1.000
-1.977 ; 13.217 ; 173 ; 2019-143T13:16:58.677Z ; 1.000
