# srt_ind, vortex_number, sols, t0, t0_unc, DeltaP, DeltaP_unc, Gamma, Gamma_unc, slope, slope_unc, intercept, intercept_unc, U, U_unc, Diameter, Diameter_unc, full_Vobs, full_Vobs_unc, full_b, full_b_unc, full_Pact, full_Pact_unc, full_Vact, full_Vact_unc, full_Dact, full_Dact_unc, full_Vobs_sigma
46, 5, 29, 13.7288, 9.33227e-06, 2.52684, 0.0870366, 1.71253, 0.087527, -5.72381, 1.79901, 720.595, 0.00950859, 4.5855, inf, 7.85281, inf, -16.5393, 0.411022, -4.87017, 0.25716, 4.00395, 0.230539, 17.1388, 0.493409, 6.23835, inf, 40.2396
47, 6, 29, 11.7469, 0.000225244, 1.39816, 0.246512, 9.10785, 2.94337, -3.82866, 12.6932, 731.697, 0.0999114, 6.222, 0.845598, 56.669, 19.8672, -13.1772, 0.971872, -37.0835, 4.42525, 2.4518, 0.773814, 13.3093, 2.10027, 42.7938, 27.4039, 13.5586
48, 7, 29, 12.6395, 1.46129e-05, 2.86074, 0.0740814, 4.06999, 0.155792, -4.174, 0.63525, 726.041, 0.00833133, 7.278, 2.12057, 29.6214, 8.70485, -10.8618, 1.7081, -12.1674, 2.83772, 3.33264, 0.179266, 15.5775, 0.418964, 27.4442, 9.72653, 6.35901
49, 8, 29, 13.9268, 1.60958e-05, 3.91225, 0.0435217, 10.4153, 0.172419, -5.74119, 0.18315, 719.466, 0.00536152, 4.125, 0.64626, 42.9631, 6.76847, -19.8515, 2.73668, -23.4774, 4.70321, 5.95186, 0.571302, 20.9136, 1.00372, 34.8323, 10.4829, 7.25387
50, 0, 33, 15.1051, 0.000274885, 0.521138, 0.0327808, 31.4278, 3.07648, -6.0122, 0.114582, 718.694, 0.00620572, 9.055, 3.71062, 284.579, 119.898, -21.4721, 4.28199, -165.903, 50.8855, -0.261811, 0.312383, nan, nan, nan, nan, 5.0145
51, 0, 36, 9.60318, 4.50779e-05, 1.41317, 0.0309828, 14.8012, 0.480872, -11.5813, 0.080893, 746.423, 0.00366604, 2.422, inf, 35.8485, inf, -13.081, 2.14971, -35.7781, 6.98964, 2.44461, 0.351459, 13.2435, 0.951999, 27.2561, inf, 6.08502
52, 1, 37, 10.1039, 3.16546e-05, 1.75852, 0.0366196, 10.942, 0.339965, -10.5345, 0.157951, 745.722, 0.00465815, 0.9775, inf, 10.6958, inf, -12.1762, 0.447515, -24.8992, 1.29001, 2.49612, 0.0915606, 13.3433, 0.244724, 8.97748, inf, 27.2084
53, 2, 37, 15.7081, 0.000279436, 0.788316, 0.095938, 17.2687, 4.51762, 8.23286, 6.6878, 707.865, 0.0784241, 8.397, 2.73978, 145.005, 60.6423, -0.00659785, 4.59956, -1.06304, 479.199, 0.788316, 0.0959382, 7.69563, 0.46828, 145.005, 61.048, 0.00143445
54, 0, 38, 12.3875, 0.000174936, 0.747234, 0.0516275, 18.2266, 1.87027, -8.36448, 0.117223, 728.306, 0.00638354, 3.019, 2.53197, 55.0261, 46.4934, -19.8544, 5.86532, -73.1033, 36.4146, -0.930313, 0.994377, nan, nan, nan, nan, 3.38505
55, 3, 38, 13.3145, 0.00010658, 1.86328, 0.0331002, 43.1102, 1.22014, -7.24617, 0.115808, 721.049, 0.00706571, 10.723, 2.19639, 462.271, 95.5867, -22.1751, 3.83324, -460.245, 259.864, 17.3681, 6.08317, 35.8274, 6.27427, 151.412, 1606.54, 5.78494
56, 0, 39, 13.0523, 5.34003e-05, 2.06457, 0.0504505, 15.7235, 0.587377, -5.04493, 0.261017, 718.263, 0.00805666, 7.7205, 3.98596, 121.393, 62.8371, -15.77, 2.56551, -36.2595, 7.14381, 3.45501, 0.473952, 16.079, 1.10284, 93.8391, 81.4752, 6.14692
57, 0, 41, 13.2586, 4.97876e-05, 0.561851, 0.0335625, 6.00062, 0.520572, -4.20712, 0.0940685, 717.785, 0.00287056, 6.5425, inf, 39.2591, inf, -20.2009, 0.368462, -35.1702, 4.61061, -0.38941, 0.0382642, nan, nan, nan, nan, 54.8247
58, 1, 41, 14.6149, 6.53783e-05, 1.00339, 0.0212621, 22.2069, 0.706598, -4.99372, 0.0532959, 709.544, 0.00290453, 6.0975, 1.36008, 135.407, 30.5088, -14.4492, 3.61819, -46.6983, 14.8564, 3.25489, 1.14957, 15.6451, 2.76279, 75.181, 57.9654, 3.99348
59, 1, 42, 15.9597, 8.58659e-05, 0.698591, 0.00882169, 48.8234, 0.998798, -5.62792, 0.0328838, 703.83, 0.00211702, 6.0505, 1.19156, 295.406, 58.489, -12.5285, 1.4853, -104.008, 15.2626, 2.75186, 0.505724, 14.3933, 1.32257, 148.839, 118.028, 8.43497
