#Sol, LTST
107, 0.6133912037
107, 0.6206018519
107, 0.6278125
107, 0.6350231481
107, 0.6927546296
110, 0.7068634259
111, 0.7023611111
112, 0.361412037
112, 0.4003240741
112, 0.6965972222
113, 0.3145601852
113, 0.3725115741
113, 0.6968055556
117, 0.3506481481
117, 0.4688194444
118, 0.6568634259
118, 0.6573842593
118, 0.6579166667
118, 0.6584375
118, 0.6589583333
118, 0.6600115741
118, 0.6605324074
118, 0.6610532407
118, 0.6615740741
118, 0.6621064815
118, 0.6626273148
118, 0.6631481481
118, 0.6636689815
118, 0.6641898148
118, 0.6647222222
118, 0.6652430556
118, 0.6657638889
118, 0.6668171296
118, 0.667337963
118, 0.6678587963
118, 0.6683796296
118, 0.668900463
118, 0.6694328704
118, 0.6699421296
118, 0.670474537
118, 0.6709953704
118, 0.6715277778
118, 0.6720486111
118, 0.6818287037
119, 0.6215277778
120, 0.7197453704
120, 0.7380787037
121, 0.6219560185
121, 0.6552546296
122, 0.7394791667
124, 0.3425694444
126, 0.5679398148
127, 0.604837963
127, 0.6286111111
128, 0.6812615741
132, 0.5174652778
132, 0.5180208333
132, 0.5185763889
132, 0.5190162037
132, 0.5195833333
132, 0.5201273148
132, 0.5391087963
133, 0.6247106481
134, 0.7368287037
135, 0.7227546296
137, 0.3388078704
138, 0.4854282407
139, 0.4812152778
140, 0.4814583333
141, 0.684375
142, 0.3315856481
142, 0.5544097222
144, 0.3552314815
144, 0.4793171296
145, 0.2218981481
145, 0.2352893519
145, 0.2385185185
145, 0.2471296296
145, 0.2475462963
145, 0.2480902778
145, 0.2485532407
145, 0.2489814815
145, 0.2495023148
145, 0.2499652778
145, 0.2503935185
145, 0.2509027778
145, 0.2513888889
145, 0.4985069444
145, 0.7472453704
145, 0.7476736111
145, 0.7481944444
145, 0.7486574074
145, 0.7490740741
145, 0.7495949074
145, 0.7500578704
145, 0.7509837963
145, 0.7514583333
145, 0.7578703704
145, 0.7612731481
145, 0.771087963
145, 0.7718981481
146, 0.5190046296
146, 0.7347916667
146, 0.7397106481
146, 0.7401851852
146, 0.7406944444
146, 0.7411921296
146, 0.7417013889
146, 0.7421875
146, 0.7426967593
146, 0.7431944444
146, 0.7436921296
146, 0.7442013889
146, 0.7446990741
146, 0.7452083333
146, 0.7457060185
146, 0.7462268519
146, 0.7467361111
146, 0.7472569444
146, 0.7477546296
146, 0.7482638889
146, 0.7487847222
146, 0.7492939815
146, 0.7498148148
146, 0.7503125
146, 0.7508449074
146, 0.7513541667
146, 0.7518865741
146, 0.7523958333
146, 0.7529282407
146, 0.7534490741
146, 0.7539814815
146, 0.7545023148
146, 0.7636921296
148, 0.6539583333
149, 0.6427430556
151, 0.3431018519
151, 0.7392476852
153, 0.5017939815
153, 0.5023611111
153, 0.5029050926
153, 0.5033564815
153, 0.503912037
153, 0.5044791667
153, 0.5434837963
153, 0.5440393519
153, 0.5445949074
153, 0.5450347222
153, 0.5456018519
153, 0.5461574074
153, 0.5850578704
153, 0.5855324074
153, 0.5859953704
153, 0.5863541667
153, 0.5868171296
153, 0.5872800926
153, 0.7055092593
158, 0.6809375
158, 0.7283680556
158, 0.7334722222
158, 0.7340046296
158, 0.734537037
158, 0.7350694444
158, 0.7355439815
158, 0.7360416667
158, 0.7365277778
158, 0.737025463
158, 0.7375115741
158, 0.7379976852
158, 0.7384953704
158, 0.7389699074
158, 0.7394675926
158, 0.7399537037
158, 0.7404513889
158, 0.7409375
158, 0.7414236111
158, 0.7419097222
158, 0.7423958333
158, 0.7428935185
158, 0.7433796296
158, 0.7438773148
158, 0.7443634259
158, 0.7448611111
158, 0.7453587963
158, 0.7458564815
158, 0.7463657407
158, 0.7468634259
158, 0.7473726852
158, 0.7478587963
158, 0.765474537
160, 0.3548611111
160, 0.6753819444
161, 0.6794675926
162, 0.6638541667
163, 0.6633564815
164, 0.6782638889
165, 0.6644328704
166, 0.6787731481
167, 0.664375
168, 0.6629513889
168, 0.7348263889
169, 0.6437731481
170, 0.6651851852
171, 0.6731134259
172, 0.6811805556
173, 0.6736226852
174, 0.6738773148
175, 0.7359143519
176, 0.6824189815
177, 0.6746296296
178, 0.6748842593
179, 0.675150463
180, 0.6753935185
181, 0.6756481481
182, 0.7423842593
183, 0.6657291667
184, 0.7034722222
185, 0.6641782407
185, 0.6665625
186, 0.6664814815
187, 0.7131134259
188, 0.6669791667
189, 0.6430324074
189, 0.6515509259
189, 0.6526851852
189, 0.6531712963
189, 0.6536689815
189, 0.6541666667
189, 0.6546527778
189, 0.6551388889
189, 0.6556481481
189, 0.6561226852
189, 0.6566203704
189, 0.6571064815
189, 0.6576041667
189, 0.6580787037
189, 0.6585648148
189, 0.6590625
189, 0.6595486111
189, 0.6600462963
189, 0.6605324074
189, 0.6610300926
189, 0.6613888889
189, 0.6698842593
190, 0.6721990741
191, 0.7532523148
191, 0.7539236111
191, 0.7546180556
192, 0.6768634259
193, 0.6607986111
193, 0.6631828704
193, 0.7251157407
194, 0.7597106481
194, 0.7604282407
194, 0.7611458333
195, 0.6734259259
197, 0.673900463
198, 0.420150463
198, 0.4206944444
198, 0.4212615741
198, 0.4217013889
198, 0.4222685185
198, 0.4228125
198, 0.7158101852
199, 0.702650463
200, 0.6746180556
201, 0.7166203704
202, 0.688287037
203, 0.5669444444
203, 0.5692361111
203, 0.5716435185
203, 0.5740393519
